	1 	2 	4 	8 	16 	32 	
bt 	23.430000	31.330000	32.730000	33.920000	36.540000	39.130000	
cg 	23.810000	32.140000	34.180000	37.270000	42.830000	45.610000	
dc 	24.310000	32.020000	33.470000	36.300000	40.810000	45.880000	
ep 	17.210000	22.110000	22.340000	22.520000	22.460000	29.380000	
ft 	23.990000	32.060000	33.920000	36.660000	41.820000	44.400000	
is 	23.610000	31.450000	33.090000	29.930000	24.530000	22.480000	
lu 	23.610000	32.110000	33.880000	37.080000	37.770000	42.530000	
mg 	25.710000	35.500000	33.860000	41.230000	40.970000	46.950000	
sp 	25.050000	33.940000	37.220000	43.050000	43.170000	49.320000	
ua 	25.110000	31.840000	33.300000	35.710000	39.670000	41.630000	
stress 	17.110000	20.820000	21.670000	22.600000	22.590000	20.970000	
